Postcode,Council,Official_Council_Name,Council_Website,Bin_Collection_URL,Region,Nation,Bin_Type,Bin_Color,Bin_Description,Bin_Contents,Collection_Frequency,Collection_Day,Next_2_Months_Dates,Next_Collection_Date,Generated_Date
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Friday,2025-07-04; 2025-07-11; 2025-07-18; 2025-07-25; 2025-08-01; 2025-08-08; 2025-08-15; 2025-08-22,04/07/2025,03/07/2025 00:58
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Thursday,2025-07-10; 2025-08-07,10/07/2025,03/07/2025 00:58
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Tuesday,2025-07-08; 2025-07-22; 2025-08-05; 2025-08-19,08/07/2025,03/07/2025 00:58
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Wednesday,2025-07-09; 2025-07-23; 2025-08-06; 2025-08-20,09/07/2025,03/07/2025 00:58
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Small Electrical,Red,Small electrical items,"Phones, cables, small appliances, batteries",monthly,Thursday,2025-07-10; 2025-08-07,10/07/2025,03/07/2025 00:58
B3 6NA,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Friday,2025-07-04; 2025-08-01; 2025-08-29,04/07/2025,03/07/2025 00:58
CV6 9SV,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
CV6 9SV,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Thursday,2025-07-10; 2025-08-07,10/07/2025,03/07/2025 00:58
CV6 9SV,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Wednesday,2025-07-09; 2025-07-23; 2025-08-06; 2025-08-20,09/07/2025,03/07/2025 00:58
CV6 9SV,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Small Electrical,Red,Small electrical items,"Phones, cables, small appliances, batteries",monthly,Monday,2025-07-07; 2025-08-04; 2025-09-01,07/07/2025,03/07/2025 00:58
CV6 9SV,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Thursday,2025-07-10; 2025-08-07,10/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Garden Waste,Green,Garden and organic waste,"Grass cuttings, leaves, branches, plant trimmings",fortnightly,Wednesday,2025-07-09; 2025-07-23; 2025-08-06; 2025-08-20,09/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,General Waste,Black,General household waste (non-recyclable),"Food waste, nappies, pet waste, non-recyclable packaging",weekly,Tuesday,2025-07-08; 2025-07-15; 2025-07-22; 2025-07-29; 2025-08-05; 2025-08-12; 2025-08-19; 2025-08-26,08/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Glass Recycling,Purple,Glass bottles and jars,"Glass bottles, jars, containers (clear and colored)",monthly,Thursday,2025-07-10; 2025-08-07,10/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Mixed Recycling,Blue,Mixed recyclable materials,"Plastic bottles, cans, tins, cardboard, paper",fortnightly,Monday,2025-07-07; 2025-07-21; 2025-08-04; 2025-08-18; 2025-09-01,07/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Paper Recycling,White,Paper and cardboard,"Newspapers, magazines, cardboard boxes, office paper",fortnightly,Monday,2025-07-07; 2025-07-21; 2025-08-04; 2025-08-18; 2025-09-01,07/07/2025,03/07/2025 00:58
E1 2PJ,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Textile Recycling,Orange,Clothing and textiles,"Clothes, shoes, bags, curtains, bedding",monthly,Wednesday,2025-07-09; 2025-08-06,09/07/2025,03/07/2025 00:58
E2 1ZR,Ashford,Ashford Borough Council,https://ashford.gov.uk,https://ashford.gov.uk/recycling-waste-and-bins/find-my-bin-day/,South East,England,Food Waste,Brown,Food and kitchen waste,"Food scraps, peelings, leftovers, tea bags",weekly,Thursday,2025-07-10; 2025-07-17; 2025-07-24; 2025-07-31; 2025-08-07; 2025-08-14; 2025-08-21; 2025-08-28,10/07/2025,03/07/2025 00:58
